Code;GTIN;Product omschrijving;Prijs;Serie;Afbeelding;URL Website
304000330;8717573008976;Geluiddemper GDH 330;242;GDH;https://zehnder.compano.com/Data/Environments/000001/Attachment/Bijlage/PRD_IMG/304000245%20GDH.jpg;https://www.zehnder.nl/producten-en-systemen/comfortabele-ventilatie/geluiddemper-gdh
304000450;8717573008983;Geluiddemper GDH 450;293;GDH;https://zehnder.compano.com/Data/Environments/000001/Attachment/Bijlage/PRD_IMG/304000245%20GDH.jpg;https://www.zehnder.nl/producten-en-systemen/comfortabele-ventilatie/geluiddemper-gdh
304000535;8717573008990;Geluiddemper GDH 535;417;GDH;https://zehnder.compano.com/Data/Environments/000001/Attachment/Bijlage/PRD_IMG/304000245%20GDH.jpg;https://www.zehnder.nl/producten-en-systemen/comfortabele-ventilatie/geluiddemper-gdh
304002330;8717573009034;Geluiddemper GDB 330;208;GDB;https://zehnder.compano.com/Data/Environments/000001/Attachment/Bijlage/PRD_IMG/304002330%20GDB.jpg;https://www.zehnder.nl/producten-en-systemen/comfortabele-ventilatie/geluiddemper-gdb
304002450;8717573009041;Geluiddemper GDB 450;254;GDB;https://zehnder.compano.com/Data/Environments/000001/Attachment/Bijlage/PRD_IMG/304002330%20GDB.jpg;https://www.zehnder.nl/producten-en-systemen/comfortabele-ventilatie/geluiddemper-gdb
304002535;8717573009058;Geluiddemper GDB 535;345;GDB;https://zehnder.compano.com/Data/Environments/000001/Attachment/Bijlage/PRD_IMG/304002330%20GDB.jpg;https://www.zehnder.nl/producten-en-systemen/comfortabele-ventilatie/geluiddemper-gdb
304010330;8717573009096;Geluiddemper GDH-K 330;283;GDH-K;https://zehnder.compano.com/Data/Environments/000001/Attachment/Bijlage/PRD_IMG/304000245%20tm%20304000750_GDH_HR.jpg;https://www.zehnder.nl/producten-en-systemen/comfortabele-ventilatie/geluiddemper-gdh
304010450;8717573009102;Geluiddemper GDH-K 450;339;GDH-K;https://zehnder.compano.com/Data/Environments/000001/Attachment/Bijlage/PRD_IMG/304000245%20tm%20304000750_GDH_HR.jpg;https://www.zehnder.nl/producten-en-systemen/comfortabele-ventilatie/geluiddemper-gdh
304010535;8717573009119;Geluiddemper GDH-K 535;476;GDH-K;https://zehnder.compano.com/Data/Environments/000001/Attachment/Bijlage/PRD_IMG/304000245%20tm%20304000750_GDH_HR.jpg;https://www.zehnder.nl/producten-en-systemen/comfortabele-ventilatie/geluiddemper-gdh
350033000;8717573009157;Pakkingplaat PV 330;15,2;PV;https://zehnder.compano.com/Data/Environments/000001/Attachment/Bijlage/PRD_IMG/350045000%20Pakkingplaat%20PV.jpg;https://www.zehnder.nl/producten-en-systemen/comfortabele-ventilatie/pakkingplaat-pv
350045000;8717573009164;Pakkingplaat PV 450;16,9;PV;https://zehnder.compano.com/Data/Environments/000001/Attachment/Bijlage/PRD_IMG/350045000%20Pakkingplaat%20PV.jpg;https://www.zehnder.nl/producten-en-systemen/comfortabele-ventilatie/pakkingplaat-pv
350053500;8717573009171;Pakkingplaat PV 535;19,3;PV;https://zehnder.compano.com/Data/Environments/000001/Attachment/Bijlage/PRD_IMG/350045000%20Pakkingplaat%20PV.jpg;https://www.zehnder.nl/producten-en-systemen/comfortabele-ventilatie/pakkingplaat-pv
353000330;8717573009225;Dakdoorvoer klepdeel DVK 30;96,9;DVK;https://zehnder.compano.com/Data/Environments/000001/Attachment/Bijlage/PRD_IMG/353000535%20DVK%20DVS.jpg;https://www.zehnder.nl/producten-en-systemen/comfortabele-ventilatie/dvk
353000450;8717573009232;Dakdoorvoerkoker klepdeel DVK 450;131;DVK;https://zehnder.compano.com/Data/Environments/000001/Attachment/Bijlage/PRD_IMG/353000535%20DVK%20DVS.jpg;https://www.zehnder.nl/producten-en-systemen/comfortabele-ventilatie/dvk
353000535;8717573009249;Dakdoorvoerkoker klepdeel DVK 535;172;DVK;https://zehnder.compano.com/Data/Environments/000001/Attachment/Bijlage/PRD_IMG/353000535%20DVK%20DVS.jpg;https://www.zehnder.nl/producten-en-systemen/comfortabele-ventilatie/dvk
353001330;8717573009294;Dakdoorvoer schuifdeel DVS 330;68,6;DVS;https://zehnder.compano.com/Data/Environments/000001/Attachment/Bijlage/PRD_IMG/353000535%20DVK%20DVS.jpg;https://www.zehnder.nl/producten-en-systemen/comfortabele-ventilatie/dvs
353001450;8717573009300;Dakdoorvoerkoker schuifdeel DVS 450;81,1;DVS;https://zehnder.compano.com/Data/Environments/000001/Attachment/Bijlage/PRD_IMG/353000535%20DVK%20DVS.jpg;https://www.zehnder.nl/producten-en-systemen/comfortabele-ventilatie/dvs
353001535;8717573009317;Dakdoorvoerkoker schuifdeel DVS 535;91,4;DVS;https://zehnder.compano.com/Data/Environments/000001/Attachment/Bijlage/PRD_IMG/353000535%20DVK%20DVS.jpg;https://www.zehnder.nl/producten-en-systemen/comfortabele-ventilatie/dvs
440303320;8717573009515;Ventilatoraansluitplaat VAP 330 - 200;58,5;VAP a;https://zehnder.compano.com/Data/Environments/000001/Attachment/Bijlage/PRD/CSY/DAK/Acces/VAP/44030-VAP.png;https://www.zehnder.nl/producten-en-systemen/comfortabele-ventilatie/aansluitplaat-vap
440303325;8717573009522;Ventilatoraansluitplaat VAP 330 - 250;58,5;VAP b;https://zehnder.compano.com/Data/Environments/000001/Attachment/Bijlage/PRD/CSY/DAK/Acces/VAP/44030-VAP.png;https://www.zehnder.nl/producten-en-systemen/comfortabele-ventilatie/aansluitplaat-vap
440304525;8717573009539;Ventilatoraansluitplaat VAP 450 - 250;60,6;VAP a;https://zehnder.compano.com/Data/Environments/000001/Attachment/Bijlage/PRD/CSY/DAK/Acces/VAP/44030-VAP.png;https://www.zehnder.nl/producten-en-systemen/comfortabele-ventilatie/aansluitplaat-vap
440304531;8717573009546;Ventilatoraansluitplaat VAP 450 - 315;61,8;VAP b;https://zehnder.compano.com/Data/Environments/000001/Attachment/Bijlage/PRD/CSY/DAK/Acces/VAP/44030-VAP.png;https://www.zehnder.nl/producten-en-systemen/comfortabele-ventilatie/aansluitplaat-vap
440304535;8717573876001;Ventilatoraansluitplaat VAP 450 - 355;60,6;VAP c;https://zehnder.compano.com/Data/Environments/000001/Attachment/Bijlage/PRD/CSY/DAK/Acces/VAP/44030-VAP.png;https://www.zehnder.nl/producten-en-systemen/comfortabele-ventilatie/aansluitplaat-vap
440305335;8717573009553;Ventilatoraansluitplaat VAP 535 - 355;73,7;VAP a;https://zehnder.compano.com/Data/Environments/000001/Attachment/Bijlage/PRD/CSY/DAK/Acces/VAP/44030-VAP.png;https://www.zehnder.nl/producten-en-systemen/comfortabele-ventilatie/aansluitplaat-vap
440305340;8717573876018;Ventilatoraansluitplaat VAP 535 - 400;72,3;VAP b;https://zehnder.compano.com/Data/Environments/000001/Attachment/Bijlage/PRD/CSY/DAK/Acces/VAP/44030-VAP.png;https://www.zehnder.nl/producten-en-systemen/comfortabele-ventilatie/aansluitplaat-vap
440305345;8717573876025;Ventilatoraansluitplaat VAP 535 - 450;73,7;VAP c;https://zehnder.compano.com/Data/Environments/000001/Attachment/Bijlage/PRD/CSY/DAK/Acces/VAP/44030-VAP.png;https://www.zehnder.nl/producten-en-systemen/comfortabele-ventilatie/aansluitplaat-vap
441006330;8717573009584;Dakopstand DOS 330;139;DOS;https://zehnder.compano.com/Data/Environments/000001/Attachment/Bijlage/PRD_IMG/441006245%20tm%20441006750_DOS_HR.jpg;https://www.zehnder.nl/producten-en-systemen/comfortabele-ventilatie/dos
441006450;8717573009591;Dakopstand DOS 450;165;DOS;https://zehnder.compano.com/Data/Environments/000001/Attachment/Bijlage/PRD_IMG/441006245%20tm%20441006750_DOS_HR.jpg;https://www.zehnder.nl/producten-en-systemen/comfortabele-ventilatie/dos
441006535;8717573009607;Dakopstand DOS 535;232;DOS;https://zehnder.compano.com/Data/Environments/000001/Attachment/Bijlage/PRD_IMG/441006245%20tm%20441006750_DOS_HR.jpg;https://www.zehnder.nl/producten-en-systemen/comfortabele-ventilatie/dos
441007330;8717573009652;Dakopstand met isolatie DOS G 330;166;DOS G;https://zehnder.compano.com/Data/Environments/000001/Attachment/Bijlage/PRD_IMG/441006245%20tm%20441006750_DOS_HR.jpg;https://www.zehnder.nl/producten-en-systemen/comfortabele-ventilatie/dosg
